parcel,sprice,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
00141-36-023-000,166200,1112,2042,0,0,2005,1,2,2,3,3,0,166200,166200,8,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-36-028-000,165000,1112,1982,0,0,2005,1,2,2,3,3,0,165000,165000,7,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-045-000,140000,1112,2588,0,0,2006,1,2,2,3,3,0,140000,140000,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-048-000,205500,1112,2588,0,1133,2006,1,2,2,3,3,6000,199500,199500,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-053-000,192300,1112,2855,0,1339,2006,1,2,2,4,3,0,192300,192300,8,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-37-002-000,138000,1112,1279,0,0,2005,1,1,2,3,2,3000,135000,135000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
00141-38-003-000,140000,1112,1574,0,0,2005,1,2,2,2,3,3500,136500,136500,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-38-010-000,150000,1112,2042,0,0,2005,1,2,2,3,3,0,150000,150000,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-38-014-000,186600,1112,1743,0,0,2011,1,2,2,0,3,0,186600,186600,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-39-010-000,107600,1112,1574,0,0,2006,1,2,2,2,3,0,107600,107600,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-39-010-000,157500,1112,1574,0,0,2006,1,2,2,2,3,5280,152220,152220,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-39-017-000,193000,1112,2580,0,1133,2006,1,2,2,3,3,5252,187748,187748,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-39-020-000,172000,1112,2079,0,0,2005,1,2,2,3,3,0,172000,172000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-39-021-000,132000,1112,1279,0,0,2005,1,1,2,3,2,0,132000,132000,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
00141-40-009-000,155000,1112,2079,0,0,2006,1,2,2,3,3,0,155000,155000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-42-001-000,208000,1112,1804,0,0,2009,1,1,2,3,3,3000,205000,205000,6,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
00141-51-010-000,17113000,1112,1432,0,0,2012,1,2,2,2,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-011-000,17113000,1112,1731,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-012-000,17113000,1112,1420,0,0,2012,1,2,2,2,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-013-000,17113000,1112,1731,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-014-000,17113000,1112,1743,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-015-000,17113000,1112,1731,0,0,2012,1,2,2,4,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-51-016-000,17113000,1112,1456,0,0,2012,1,1,2,2,2,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
00141-52-016-000,17113000,1112,1743,0,731,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-52-017-000,17113000,1112,1470,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-52-018-000,17113000,1112,1731,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-52-019-000,17113000,1112,1743,0,0,2012,1,2,2,3,3,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
00141-53-001-000,186000,1112,1743,0,0,2010,1,2,2,3,3,0,186000,186000,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-53-002-000,160500,1112,1420,0,0,2010,1,2,2,3,3,0,160500,160500,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-53-003-000,175700,1112,1743,0,0,2010,1,2,2,3,3,0,175700,175700,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-53-004-000,187000,1112,1743,0,0,2010,1,2,2,3,3,0,187000,187000,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-53-005-000,203700,1112,1504,0,731,2010,1,2,2,3,3,0,203700,203700,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
